"","station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_count","metadata_species","n_images","HierarchicalSubject"
"1","station1","Sunbear",2022-03-02 07:00:32,2022-03-02,"07:00:32",0,0,0,0,"camtrapR/createSpeciesFolders/station1/Sunbear","station1__2022-03-02__07-00-32(1).JPG","1","Sunbear",10,"count|1, species|Sunbear"
"2","station2","Banded Palm Civet",2022-05-03 20:09:08,2022-05-03,"20:09:08",0,0,0,0,"camtrapR/createSpeciesFolders/station2/Banded Palm Civet","station2__2022-05-03__20-09-08(1).JPG","1","Banded Palm Civet",2,"count|1, species|Banded Palm Civet"
"3","station2","Thick-spined Porcupine",2022-04-15 01:48:44,2022-04-15,"01:48:44",0,0,0,0,"camtrapR/createSpeciesFolders/station2/Thick-spined Porcupine","station2__2022-04-15__01-48-44(1).JPG","1","Thick-spined Porcupine",10,"count|1, species|Thick-spined Porcupine"
"4","station3","Banded Palm Civet",2022-03-03 05:08:21,2022-03-03,"05:08:21",0,0,0,0,"camtrapR/createSpeciesFolders/station3/Banded Palm Civet","station3__2022-03-03__05-08-21(1).JPG","1","Banded Palm Civet",6,"count|1, species|Banded Palm Civet"
"5","station3","Banded Palm Civet",2022-03-10 04:00:35,2022-03-10,"04:00:35",600734,10012.2,166.9,7,"camtrapR/createSpeciesFolders/station3/Banded Palm Civet","station3__2022-03-10__04-00-35(1).JPG","1","Banded Palm Civet",6,"count|1, species|Banded Palm Civet"
"6","station3","Banded Palm Civet",2022-04-06 04:26:04,2022-04-06,"04:26:04",2334329,38905.5,648.4,27,"camtrapR/createSpeciesFolders/station3/Banded Palm Civet","station3__2022-04-06__04-26-04(1).JPG","1","Banded Palm Civet",3,"count|1, species|Banded Palm Civet"
"7","station3","Great Argus Pheasant",2022-04-16 06:48:21,2022-04-16,"06:48:21",0,0,0,0,"camtrapR/createSpeciesFolders/station3/Great Argus Pheasant","station3__2022-04-16__06-48-21(1).JPG","1","Great Argus Pheasant",6,"count|1, species|Great Argus Pheasant"
"8","station3","Great Argus Pheasant",2022-04-20 07:01:51,2022-04-20,"07:01:51",346410,5773.5,96.2,4,"camtrapR/createSpeciesFolders/station3/Great Argus Pheasant","station3__2022-04-20__07-01-51(1).JPG","1","Great Argus Pheasant",9,"count|1, species|Great Argus Pheasant"
"9","station3","Great Argus Pheasant",2022-04-20 08:23:04,2022-04-20,"08:23:04",4873,81.2,1.4,0.1,"camtrapR/createSpeciesFolders/station3/Great Argus Pheasant","station3__2022-04-20__08-23-04(1).JPG","1","Great Argus Pheasant",15,"count|1, species|Great Argus Pheasant"
"10","station3","Great Argus Pheasant",2022-05-06 07:30:48,2022-05-06,"07:30:48",1379264,22987.7,383.1,16,"camtrapR/createSpeciesFolders/station3/Great Argus Pheasant","station3__2022-05-06__07-30-48(1).JPG","1","Great Argus Pheasant",9,"count|1, species|Great Argus Pheasant"
"11","station3","Leopard Cat",2022-04-19 10:03:37,2022-04-19,"10:03:37",0,0,0,0,"camtrapR/createSpeciesFolders/station3/Leopard Cat","station3__2022-04-19__10-03-37(1).JPG","1","Leopard Cat",7,"count|1, species|Leopard Cat"
"12","station3","Mongoose sp",2022-04-16 07:01:07,2022-04-16,"07:01:07",0,0,0,0,"camtrapR/createSpeciesFolders/station3/Mongoose sp","station3__2022-04-16__07-01-07(1).JPG","1","Mongoose sp.",6,"count|1, species|Mongoose sp."
"13","station3","Yellow-throated Marten",2022-05-14 16:17:48,2022-05-14,"16:17:48",0,0,0,0,"camtrapR/createSpeciesFolders/station3/Yellow-throated Marten","station3__2022-05-14__16-17-48(1).JPG","1","Yellow-throated Marten",3,"count|1, species|Yellow-throated Marten"
